Entità,Metrica,Topic,Rank,Valore
matteosalviniofficial,Coverage ≥3,Costo della vita,8.0,0.2222
matteosalviniofficial,Coverage ≥3,Abitazione,8.0,0.2222
matteosalviniofficial,Coverage ≥3,Uguaglianza di genere,10.0,0.0
nicolafratoianni,Coverage ≥3,Lavoro e economia,1.0,1.0
nicolafratoianni,Coverage ≥3,Democrazia e legalità,2.0,0.8889
nicolafratoianni,Coverage ≥3,Costo della vita,3.0,0.7778
nicolafratoianni,Coverage ≥3,Salute e welfare,4.0,0.6667
nicolafratoianni,Coverage ≥3,Difesa e sicurezza,5.0,0.5556
nicolafratoianni,Coverage ≥3,Istruzione e formazione,6.0,0.4444
nicolafratoianni,Coverage ≥3,Abitazione,7.0,0.3333
nicolafratoianni,Coverage ≥3,Ambiente e clima,8.0,0.2222
nicolafratoianni,Coverage ≥3,Uguaglianza di genere,9.0,0.1111
nicolafratoianni,Coverage ≥3,Immigrazione,10.0,0.0
silviasalis,Coverage ≥3,Democrazia e legalità,1.0,1.0
silviasalis,Coverage ≥3,Lavoro e economia,2.0,0.8889
silviasalis,Coverage ≥3,Salute e welfare,3.0,0.7778
silviasalis,Coverage ≥3,Istruzione e formazione,4.0,0.6667
silviasalis,Coverage ≥3,Costo della vita,5.0,0.5556
silviasalis,Coverage ≥3,Abitazione,6.0,0.4444
silviasalis,Coverage ≥3,Difesa e sicurezza,7.0,0.3333
silviasalis,Coverage ≥3,Ambiente e clima,8.0,0.2222
silviasalis,Coverage ≥3,Uguaglianza di genere,9.0,0.1111
silviasalis,Coverage ≥3,Immigrazione,10.0,0.0
